data_criacao,id,temperatura,umidade,latitude,longitude,altitude,HDOP,satelites
2025-11-17T18:02:22-03:00,1,30.8,74.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:02:38-03:00,2,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:02:53-03:00,3,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:03:09-03:00,4,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:03:25-03:00,5,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:03:41-03:00,6,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:03:56-03:00,7,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:04:12-03:00,8,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:04:28-03:00,9,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:04:43-03:00,10,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:04:59-03:00,11,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:05:15-03:00,12,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:05:31-03:00,13,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:05:46-03:00,14,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:06:02-03:00,15,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:06:18-03:00,16,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:06:33-03:00,17,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:06:49-03:00,18,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:07:05-03:00,19,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:07:20-03:00,20,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:07:36-03:00,21,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:07:52-03:00,22,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:08:07-03:00,23,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:08:23-03:00,24,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:08:39-03:00,25,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:08:55-03:00,26,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:09:10-03:00,27,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:09:26-03:00,28,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:09:41-03:00,29,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:09:57-03:00,30,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:10:13-03:00,31,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
2025-11-17T18:10:29-03:00,32,30.8,72.0,-7.995956,-34.840949,18.7,1.07,6.0
